data_year,hid,pid,weight,dla_prob,rec_dla,scotland
2015,3465,120150346502,1041,0.00031670781524710767,false,true
2015,3517,120150351703,825,0.00031670781524710767,false,true
2015,3517,120150351705,825,0.00031670781524710767,false,true
2015,3538,120150353805,701,0.00031670781524710767,false,true
2015,3574,120150357403,899,0.00031670781524710767,false,true
2015,3690,120150369002,886,0.00031670781524710767,false,true
2015,3734,120150373403,1055,0.00031670781524710767,false,true
2015,3734,120150373404,1055,0.00031670781524710767,false,true
2015,3785,120150378502,980,0.00031670781524710767,false,true
2015,3824,120150382403,847,0.00031670781524710767,false,true
2015,3825,120150382503,1120,0.00031670781524710767,false,true
2015,3832,120150383203,1095,0.00031670781524710767,false,true
2015,3837,120150383703,982,0.00031670781524710767,false,true
2015,3914,120150391403,1401,0.00031670781524710767,false,true
2015,3936,120150393603,1469,0.00031670781524710767,false,true
2015,3956,120150395603,825,0.00031670781524710767,false,true
2015,3956,120150395604,825,0.00031670781524710767,false,true
2015,3958,120150395803,1685,0.00031670781524710767,false,true
2015,3962,120150396204,1472,0.00031670781524710767,false,true
2015,4012,120150401202,927,0.00031670781524710767,false,true
2015,4023,120150402303,1391,0.00031670781524710767,false,true
2015,4045,120150404504,731,0.00031670781524710767,false,true
2015,4070,120150407003,937,0.00031670781524710767,false,true
2015,4070,120150407004,937,0.00031670781524710767,false,true
2015,4131,120150413102,768,0.00031670781524710767,false,true
2015,4235,120150423502,1041,0.00031670781524710767,false,true
2015,4350,120150435002,670,0.00031670781524710767,false,true
2015,4350,120150435003,670,0.00031670781524710767,false,true
2015,4354,120150435403,1095,0.00031670781524710767,false,true
2015,4393,120150439303,625,0.00031670781524710767,false,true
2015,4393,120150439304,625,0.00031670781524710767,false,true
2015,4393,120150439305,625,0.00031670781524710767,false,true
2015,4395,120150439503,649,0.00031670781524710767,false,true
2015,4395,120150439504,649,0.00031670781524710767,false,true
2015,4574,120150457403,865,0.00031670781524710767,false,true
2015,4581,120150458103,827,0.00031670781524710767,false,true
2015,4613,120150461303,1255,0.00031670781524710767,false,true
2015,4636,120150463604,707,0.00031670781524710767,false,true
2015,4636,120150463605,707,0.00031670781524710767,false,true
2015,4636,120150463606,707,0.00031670781524710767,false,true
2015,4711,120150471102,1210,0.00031670781524710767,false,true
2015,4752,120150475203,1789,0.00031670781524710767,false,true
2015,4781,120150478103,1459,0.00031670781524710767,false,true
2015,4797,120150479702,832,0.00031670781524710767,false,true
2015,4890,120150489004,1150,0.00031670781524710767,false,true
2015,4893,120150489303,914,0.00031670781524710767,false,true
2015,5118,120150511803,703,0.00031670781524710767,false,true
2015,5118,120150511804,703,0.00031670781524710767,false,true
2015,5118,120150511805,703,0.00031670781524710767,false,true
2015,5228,120150522803,1047,0.00031670781524710767,false,true
2015,5284,120150528402,1048,0.00031670781524710767,false,true
2015,5350,120150535004,872,0.00031670781524710767,false,true
2015,5403,120150540302,796,0.00031670781524710767,false,true
2015,5404,120150540403,878,0.00031670781524710767,false,true
2015,5433,120150543303,864,0.00031670781524710767,false,true
2015,5433,120150543306,864,0.00031670781524710767,false,true
2015,5445,120150544503,1758,0.00031670781524710767,false,true
2015,5478,120150547803,970,0.00031670781524710767,false,true
2015,5584,120150558403,868,0.00031670781524710767,false,true
2015,5611,120150561103,827,0.00031670781524710767,false,true
2015,5701,120150570104,832,0.00031670781524710767,false,true
2015,5703,120150570304,754,0.00031670781524710767,false,true
2015,5721,120150572103,708,0.00031670781524710767,false,true
2015,5725,120150572503,824,0.00031670781524710767,false,true
2015,5725,120150572504,824,0.00031670781524710767,false,true
2015,5737,120150573703,1296,0.00031670781524710767,false,true
2015,5827,120150582703,1218,0.00031670781524710767,false,true
2015,5836,120150583602,667,0.00031670781524710767,false,true
2015,5836,120150583603,667,0.00031670781524710767,false,true
2015,5871,120150587104,1402,0.00031670781524710767,false,true
2015,5894,120150589402,1712,0.00031670781524710767,false,true
2015,6068,120150606803,1615,0.00031670781524710767,false,true
2015,6068,120150606804,1615,0.00031670781524710767,false,true
2015,6075,120150607502,752,0.00031670781524710767,false,true
2015,6075,120150607503,752,0.00031670781524710767,false,true
2015,6094,120150609402,730,0.00031670781524710767,false,true
2015,6094,120150609403,730,0.00031670781524710767,false,true
2015,6094,120150609404,730,0.00031670781524710767,false,true
2015,6171,120150617102,878,0.00031670781524710767,false,true
2015,6171,120150617103,878,0.00031670781524710767,false,true
2015,6247,120150624702,1556,0.00031670781524710767,false,true
2015,6274,120150627403,1179,0.00031670781524710767,false,true
2015,6277,120150627704,957,0.00031670781524710767,false,true
2015,6324,120150632402,797,0.00031670781524710767,false,true
2015,6525,120150652502,659,0.00031670781524710767,false,true
2015,6565,120150656503,1027,0.00031670781524710767,false,true
2015,6659,120150665903,904,0.00031670781524710767,false,true
2015,6697,120150669703,943,0.00031670781524710767,false,true
2015,6763,120150676303,1319,0.00031670781524710767,false,true
2015,6822,120150682203,1034,0.00031670781524710767,false,true
2015,6858,120150685803,1304,0.00031670781524710767,false,true
2015,6893,120150689303,703,0.00031670781524710767,false,true
2015,6893,120150689304,703,0.00031670781524710767,false,true
2015,7013,120150701305,660,0.00031670781524710767,false,true
2015,7147,120150714703,991,0.00031670781524710767,false,true
2015,7178,120150717804,1062,0.00031670781524710767,false,true
2015,7255,120150725504,628,0.00031670781524710767,false,true
2015,7255,120150725505,628,0.00031670781524710767,false,true
2015,7279,120150727904,1729,0.00031670781524710767,false,true
2015,7281,120150728103,749,0.00031670781524710767,false,true
2015,7281,120150728104,749,0.00031670781524710767,false,true
2015,7281,120150728105,749,0.00031670781524710767,false,true
2015,7299,120150729903,1193,0.00031670781524710767,false,true
2015,7299,120150729904,1193,0.00031670781524710767,false,true
2015,7319,120150731903,654,0.00031670781524710767,false,true
2015,7367,120150736703,1397,0.00031670781524710767,false,true
2015,7421,120150742104,695,0.00031670781524710767,false,true
2015,7504,120150750403,1447,0.00031670781524710767,false,true
2015,7513,120150751304,803,0.00031670781524710767,false,true
2015,7518,120150751804,899,0.00031670781524710767,false,true
2015,7523,120150752302,689,0.00031670781524710767,false,true
2015,7538,120150753803,925,0.00031670781524710767,false,true
2015,7554,120150755402,1226,0.00031670781524710767,false,true
2015,7588,120150758803,924,0.00031670781524710767,false,true
2015,7588,120150758804,924,0.00031670781524710767,false,true
2015,7595,120150759503,1546,0.00031670781524710767,false,true
2015,7621,120150762103,981,0.00031670781524710767,false,true
2015,7628,120150762803,688,0.00031670781524710767,false,true
2015,7628,120150762804,688,0.00031670781524710767,false,true
2015,7628,120150762805,688,0.00031670781524710767,false,true
2015,7632,120150763203,761,0.00031670781524710767,false,true
2015,7632,120150763204,761,0.00031670781524710767,false,true
2015,7665,120150766503,1012,0.00031670781524710767,false,true
2015,7671,120150767103,1139,0.00031670781524710767,false,true
2015,7775,120150777502,989,0.00031670781524710767,false,true
2015,7784,120150778403,1056,0.00031670781524710767,false,true
2015,7930,120150793003,1000,0.00031670781524710767,false,true
2015,7936,120150793603,635,0.00031670781524710767,false,true
2015,7936,120150793604,635,0.00031670781524710767,false,true
2015,8076,120150807602,732,0.00031670781524710767,false,true
2015,8136,120150813603,1322,0.00031670781524710767,false,true
2015,8147,120150814702,723,0.00031670781524710767,false,true
2015,8162,120150816203,901,0.00031670781524710767,false,true
2015,8162,120150816204,901,0.00031670781524710767,false,true
2015,8176,120150817603,1339,0.00031670781524710767,false,true
2015,8211,120150821103,777,0.00031670781524710767,false,true
2015,8258,120150825802,655,0.00031670781524710767,false,true
2015,8402,120150840203,646,0.00031670781524710767,false,true
2015,8451,120150845103,794,0.00031670781524710767,false,true
2015,8451,120150845104,794,0.00031670781524710767,false,true
2015,8532,120150853203,790,0.00031670781524710767,false,true
2015,8564,120150856403,962,0.00031670781524710767,false,true
2015,8657,120150865704,1191,0.00031670781524710767,false,true
2015,8674,120150867403,1322,0.00031670781524710767,false,true
2015,8699,120150869902,671,0.00031670781524710767,false,true
2015,8699,120150869903,671,0.00031670781524710767,false,true
2015,8784,120150878403,937,0.00031670781524710767,false,true
2015,8828,120150882802,1004,0.00031670781524710767,false,true
2015,8933,120150893304,941,0.00031670781524710767,false,true
2015,9084,120150908403,744,0.00031670781524710767,false,true
2015,9200,120150920003,679,0.00031670781524710767,false,true
2015,9368,120150936805,714,0.00031670781524710767,false,true
2015,9387,120150938705,743,0.00031670781524710767,false,true
2015,9461,120150946102,1048,0.00031670781524710767,false,true
2015,9469,120150946905,1339,0.00031670781524710767,false,true
