"datayear"	"uniqidnew"	"shelter_1"	"shelter_2"	"shelter_3"	"tenure_1"	"tenure_2"	"tenure_3"	"singlepar_1"	"singlepar_2"	"singlepar_3"	"numadults_1"	"numadults_2"	"numadults_3"	"numkids_1"	"numkids_2"	"numkids_3"	"acctype_1"	"acctype_2"	"acctype_3"	"agehigh_1"	"agehigh_2"	"agehigh_3"	"empstathigh_1"	"empstathigh_2"	"empstathigh_3"	"ethnichigh_1"	"ethnichigh_2"	"ethnichigh_3"	"sochigh_1"	"sochigh_2"	"sochigh_3"	"datayear_1"	"datayear_2"	"datayear_3"
17	"247365.53"	0	0	0	2	1	1	0	0	0	2	2	1	0	0	0	1	1	1	26	5	1	1	1	1	1	1	1	2	1	1	17	1	1
17	"247428.66"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	1	1	1	80	16	4	5	3	3	1	1	1	0	0	1	17	1	1
17	"247449.55"	0	0	0	4	2	2	0	0	0	1	1	-888	0	0	0	3	1	1	80	16	4	5	3	3	1	1	1	0	0	1	17	1	1
17	"247619.75"	0	0	0	2	1	1	0	0	0	2	2	1	0	0	0	2	1	1	26	5	1	1	1	1	1	1	1	1	1	1	17	1	1
17	"247988.03"	0	0	0	4	2	2	1	1	1	1	1	-888	1	1	1	3	1	1	43	8	2	2	1	1	1	1	1	9	4	1	17	1	1
17	"248398.54"	0	0	0	5	2	2	1	1	1	2	2	1	0	0	0	2	1	1	30	6	1	1	1	1	1	1	1	1	1	1	17	1	1
17	"248540.63"	0	0	0	2	1	1	0	0	0	1	1	-888	0	0	0	2	1	1	30	6	1	1	1	1	1	1	1	8	3	1	17	1	1
17	"248578.39"	0	0	0	5	2	2	0	0	0	2	2	1	0	0	0	3	1	1	24	4	1	1	1	1	1	1	1	0	0	1	17	1	1
17	"248730.79"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	1	1	1	80	16	4	5	3	3	1	1	1	0	0	1	17	1	1
17	"248743.89"	0	0	0	2	1	1	0	0	0	2	2	1	0	0	0	3	1	1	28	5	1	1	1	1	1	1	1	3	2	1	17	1	1
